popularity,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
32.985763,124.0,2015-06-09,5562,6.5,2015,137999939.280026,1392445892.5238
28.419936,120.0,2015-05-13,6185,7.1,2015,137999939.280026,348161292.489031
13.112507,119.0,2015-03-18,2480,6.3,2015,101199955.47201899,271619025.407628
11.173103999999999,136.0,2015-12-15,5292,7.5,2015,183999919.040035,1902723129.80182
9.335014,137.0,2015-04-01,2947,7.3,2015,174799923.08803302,1385748801.47052
9.1107,156.0,2015-12-25,3929,7.2,2015,124199945.352024,490314247.02173096
8.654359,125.0,2015-06-23,2598,5.8,2015,142599937.256027,405355075.683766
7.6674,141.0,2015-09-30,4572,7.6,2015,99359956.2816192,547749654.3101519
7.40416499999999,91.0,2015-06-17,2893,6.5,2015,68079970.0448131,1064192016.7955099
6.326804,94.0,2015-06-09,3935,8.0,2015,160999929.16003102,785411574.698907
6.200282,148.0,2015-10-26,3254,6.2,2015,225399900.824043,810220283.783075
6.189369,124.0,2015-02-04,1937,5.2,2015,161919931.51523,169268630.681802
6.118847,108.0,2015-01-21,2854,7.6,2015,13799993.9280026,33919845.9552677
5.984995,105.0,2015-07-16,1575,5.8,2015,80959964.37761559,224146025.095748
5.944927,141.0,2015-04-22,4304,7.4,2015,257599886.656049,1292632336.88177
5.8984,167.0,2015-12-25,2389,7.4,2015,40479982.18880779,143299244.588332
5.749758,109.0,2015-01-01,1578,6.1,2015,44159980.5696085,299709578.207785
5.5731839999999995,115.0,2015-07-14,3779,7.0,2015,119599947.376023,477113780.029936
5.556818,112.0,2015-03-12,1495,6.8,2015,87399961.54401691,498963025.21626794
5.476958,136.0,2015-11-18,2380,6.5,2015,147199935.232028,598481289.508232
5.4621379999999995,130.0,2015-05-19,1899,6.2,2015,174799923.08803302,192312729.942398
5.337064,123.0,2015-06-15,1386,7.3,2015,27599987.856005296,84373003.7158783
4.907832,114.0,2015-05-27,2060,6.1,2015,101199955.47201899,432851374.985395
